id,Idade,Genero,Cor/raca/etnia,PCD,Faixa_idade,experiencia_profissional_prejudicada,Não_acredito_que_minha_experiência_profissional_seja_afetada,Experiencia_prejudicada_devido_a_minha_Cor_Raça_Etnia,Experiencia_prejudicada_devido_a_minha_identidade_de_gênero,Experiencia_prejudicada_devido_ao_fato_de_ser_PCD,Qual_sua_situação_atual_de_trabalho,vive_no_brasil,uf_onde_mora,Regiao_onde_mora,Nivel_de_Ensino,Cargo_Atual,Nivel,Faixa_salarial
s29to7fwdaxy3x9s20f49ogjqtx716jx,32,Masculino,Branca,Não,30-34,,,,,,Empregado (CLT),1,SP,Sudeste,Graduação/Bacharelado,,,de R$ 12.001/mês a R$ 16.000/mês
s2u30ukmzld4o19s2wef3dyxwyimckwe,27,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,RJ,Sudeste,Pós-graduação,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês
s2y2c42pr4x0yuv2fqlos2y2ol50i0pk,31,Feminino,Preta,Não,30-34,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,1.0,1.0,0.0,Empreendedor ou Empregado (CNPJ),1,SP,Sudeste,Mestrado,Cientista de Dados/Data Scientist,Sênior,de R$ 8.001/mês a R$ 12.000/mês
s37inwhdx7vidy0fs37ijt5s6oqh6iwa,30,Masculino,Branca,Não,30-34,,,,,,Somente Estudante (graduação),1,SP,Sudeste,Estudante de Graduação,,,
s3a64espdm1ic80e1s3a64eu8sbit8rc,23,Masculino,Branca,Não,22-24,,,,,,Empregado (CLT),1,CE,Nordeste,Graduação/Bacharelado,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês
s40xs3ci41d37bsps40x9r61ltj8opc7,34,Masculino,Branca,Não,30-34,,,,,,Empreendedor ou Empregado (CNPJ),1,SP,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês
s4kdn1hmgh4fxzycs4kmnj0gjv2t08fr,27,Feminino,Branca,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",0.0,0.0,1.0,0.0,Empregado (CLT),1,RS,Sul,Graduação/Bacharelado,Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês
s4uel9b3921xpbls4uabnstlgby0ccyw,26,Masculino,Parda,Não,25-29,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,MG,Sudeste,Graduação/Bacharelado,Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
s4xvrjjjehbgas4xvrj7x99x3conl4yh,28,Masculino,Branca,Não,25-29,,,,,,Empregado (CLT),1,RS,Sul,Pós-graduação,Analista de Dados/Data Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês
s58guc94v8hr2eaos58g01lqf9bl2ic2,28,Feminino,Parda,Não,25-29,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",0.0,1.0,0.0,0.0,Estagiário,1,ES,Sudeste,Pós-graduação,Analista de Dados/Data Analyst,Pleno,de R$ 1.001/mês a R$ 2.000/mês
s5ckq7k8dx93ui7zgys5ck5eqjvboukv,27,Masculino,Branca,Não,25-29,,,,,,Empreendedor ou Empregado (CNPJ),1,PR,Sul,Graduação/Bacharelado,Analista de Suporte/Analista Técnico,Júnior,de R$ 3.001/mês a R$ 4.000/mês
s5wzgn6afg8mddki2f7cis5ye1bztm0y,41,Masculino,Parda,Não,40-44,Não acredito que minha experiência profissional seja afetada devido a esses fatores,1.0,0.0,0.0,0.0,Empregado (CLT),1,SP,Sudeste,Pós-graduação,,,de R$ 25.001/mês a R$ 30.000/mês
s60qy8rxds1xokeis60q8c7lmzas3hxj,19,Masculino,Branca,Não,17-21,,,,,,Somente Estudante (graduação),1,PR,Sul,Estudante de Graduação,,,
